model,oos_return
Market-norm1,0.14114963
Market-norm1,-0.07051154
Market-norm1,0.1166013
Market-norm1,0.08072069
Market-norm1,0.17950146
Market-norm1,0.11225198
Market-norm1,-0.05711382
Market-norm1,-0.06453284
Market-norm1,-0.04934355
Market-norm1,-0.03105112
Market-norm1,-0.04597629
Market-norm1,-0.08286707
Market-norm1,0.12436345
Market-norm1,-0.08023108
Market-norm1,-0.07493426
Market-norm1,0.05968183
Market-norm1,0.02966578
Market-norm1,-0.09559633
Market-norm1,-0.10234563
Market-norm1,-0.01922529
Market-norm1,0.12613207
Market-norm1,0.02378136
Market-norm1,-0.04030166
Market-norm1,0.07508331
Market-norm1,-0.0397328
Market-norm1,-0.03303306
Market-norm1,0.02122039
Market-norm1,0.01117579
Market-norm1,-0.04482012
Market-norm1,-0.02944416
Market-norm1,0.10281676
Market-norm1,-0.02439332
Market-norm1,0.0632103
Market-norm1,-0.01610355
Market-norm1,-0.01781225
Market-norm1,0.01166731
Market-norm1,-0.0101853
Market-norm1,0.03343585
Market-norm1,-0.00316097
Market-norm1,0.02581922
Market-norm1,0.01509369
Market-norm1,-0.04552499
Market-norm1,-0.02517224
Market-norm1,-0.0470807
Market-norm1,-0.01676101
Market-norm1,-0.03405322
Market-norm1,0.003015
Market-norm1,-0.00283081
Market-norm1,0.01831622
Market-norm1,0.00499556
Market-norm1,-0.0040005
Market-norm1,0.00570728
Market-norm1,0.02862926
Market-norm1,0.00664408
Market-norm1,0.04161342
Market-norm1,-0.0757579
Market-norm1,-0.02495733
Market-norm1,-0.09429324
Market-norm1,-0.04287286
Market-norm1,0.07161543
Market-norm1,-0.00791797
Market-norm1,0.22653002
Market-norm1,0.47794041
Market-norm1,-0.10049454
Market-norm1,-0.13491359
Market-norm1,0.01243631
Market-norm1,0.00979543
Market-norm1,0.01482208
Market-norm1,0.14870775
Market-norm1,0.10841497
Market-norm1,0.07951164
Market-norm1,0.11142986
Market-norm1,-0.03425778
Market-norm1,0.11807042
Market-norm1,0.17199079
Market-norm1,-0.10660275
Market-norm1,0.04681416
Market-norm1,0.17895396
Market-norm1,0.2121086
Market-norm1,0.09039221
Market-norm1,0.10931042
Market-norm1,0.63911941
Market-norm1,0.28500462
Market-norm1,0.7196099
Market-norm1,0.3815104
Market-norm1,-0.18864798
Market-norm1,-0.248645
Market-norm1,-0.06482204
Market-norm1,0.10854375
Market-norm1,-0.17075664
Market-norm1,-0.23723933
Market-norm1,-0.1068935
Market-norm1,0.01316754
Market-norm1,-0.09990721
Market-norm1,-0.1922967
Market-norm1,0.07634773
Market-norm1,0.06497122
Market-norm1,0.08585064
Market-norm1,-0.07704269
Market-norm1,-0.1138379
Market-norm1,0.01688049
Market-norm1,-0.00426068
Market-norm1,-0.10034096
Market-norm1,-0.0190774
Market-norm1,0.10808276
Market-norm1,0.09050822
Market-norm1,-0.02050818
Market-norm1,-0.03881732
Market-norm1,-0.08971129
Market-norm1,-0.01708077
Market-norm1,-0.08235206
Market-norm1,-0.07649652
Market-norm1,0.10452982
Market-norm1,0.11530169
Market-norm1,-0.04139939
Market-norm1,0.16505859
Market-norm1,0.11447921
Market-norm1,0.1993996
Market-norm1,-0.10322173
Market-norm1,-0.07829159
Market-norm1,-0.1023902
Market-norm1,0.04394322
Market-norm1,-0.02388208
Market-norm1,-0.07193768
Market-norm1,0.02593061
Market-norm1,0.04287822
Market-norm1,-0.0556559
Market-norm1,-0.04444537
Market-norm1,0.07630187
Market-norm1,-0.01744563
Market-norm1,-0.10149264
Market-norm1,-0.02812126
Market-norm1,-0.02316321
Market-norm1,-0.00939688
Market-norm1,0.00175873
Market-norm1,-0.05601892
Market-norm1,0.15834291
Market-norm1,0.12737699
Market-norm1,-0.0004498
Market-norm1,-0.01070353
Market-norm1,-0.0380542
Market-norm1,0.12083249
Market-norm1,-0.03043622
Market-norm1,-0.13346862
FF5-norm1,0.09069866518840322
FF5-norm1,0.02445784249620016
FF5-norm1,0.018708639942433034
FF5-norm1,0.011552494933126224
FF5-norm1,0.0833150842274715
FF5-norm1,0.04320136671724203
FF5-norm1,-0.019475526726447645
FF5-norm1,-0.014622763342347434
FF5-norm1,0.006533774774505083
FF5-norm1,-0.013806988053236244
FF5-norm1,0.006281579448163647
FF5-norm1,-0.025292138214551143
FF5-norm1,0.01506475840658675
FF5-norm1,0.0011967868300917465
FF5-norm1,0.010842856571845763
FF5-norm1,0.028186911968578716
FF5-norm1,0.013402740279572998
FF5-norm1,-0.023012210789661085
FF5-norm1,-0.0348825121343189
FF5-norm1,-0.002959134053642673
FF5-norm1,0.015309987446199299
FF5-norm1,0.0016693863548448212
FF5-norm1,-0.023931696139522528
FF5-norm1,0.00303441346457934
FF5-norm1,0.008958042124488873
FF5-norm1,-0.008103956064695194
FF5-norm1,-0.010217070075809262
FF5-norm1,-0.01227791264816943
FF5-norm1,0.0048644935944091045
FF5-norm1,-0.00722062476519294
FF5-norm1,0.06394921675799733
FF5-norm1,0.022594380842951792
FF5-norm1,-0.012909328542641414
FF5-norm1,0.019104674578071086
FF5-norm1,0.011226050788044985
FF5-norm1,-0.0158192236622312
FF5-norm1,0.0029092912145687404
FF5-norm1,0.0016558231114973771
FF5-norm1,0.037183150105606445
FF5-norm1,0.0029585593077872878
FF5-norm1,-0.000209188859123206
FF5-norm1,-0.022443515626105217
FF5-norm1,0.006364800204876197
FF5-norm1,0.009330556486728512
FF5-norm1,0.02044323198571576
FF5-norm1,0.06147590684480019
FF5-norm1,-0.017900519037615505
